num.;Código;Categoria-expectativas;1.1 Você tem 18 anos completos ou mais?;1.4 Qual o seu Curso? ;1.5 Qual a cidade da sua residência?;1.6 Qual a sua Faixa Etária;1.7 Qual o seu gênero ?;1.8 Sobre a sua  Situação de trabalho:;1.9 Você já participou de cursos na modalidade EaD?;"1.10 Caso a resposta anterior seja sim,  qual(is) formato(s) de EaD você já participou?
(Marque todos os que se aplicam)";2.1 Com que frequência você estuda fora do horário das aulas?;2.2 Como você avalia seu próprio desempenho nos estudos?;2.3 Com que frequência você planeja seu tempo de estudos? ;3.1 Você sente dificuldade em identificar os conteúdos que mais precisa estudar?;3.2 Você já utilizou alguma ferramenta digital que mostrasse seu desempenho nos estudos em tempo real ou com acompanhamento visual? ;4.1 O quanto você acredita que uma ferramenta de visualização, que apresente seu desempenho e sugira materiais de estudo, pode contribuir para o seu aprendizado?;4.2 Nas suas expectativas em relação à ferramenta, você considera que poderá reorganizar seus estudos com base nas informações que verá na ferramenta?;4.3 Quais são suas expectativas em relação ao uso dessa ferramenta? (resposta aberta);;1.1 A ferramenta de visualização ajudou você a compreender melhor o conteúdo do curso?;1.2 A ferramenta facilitou a identificação dos conteúdos em que você teve mais dificuldade?;1.3 Em que medida a visualização, ao apresentar seu desempenho e sugerir materiais de estudo, contribuiu para sua motivação para aprender?;2.1. Qual o grau de facilidade que você encontrou na navegação da ferramenta?;2.2 O quanto você considerou a ferramenta intuitiva em sua interação?;2.3 Como você avaliaria a quantidade de interações (cliques, explorações) que realizou na ferramenta?;2.4 Você utilizou os filtros disponíveis para explorar diferentes informações?;2.5 Com que frequência você alternou entre os diferentes tipos de visualização?;2.6 Qual recurso da ferramenta você mais utilizou ou achou mais útil? (Resposta aberta);2.7 De forma geral, a ferramenta de visualização surpreende você de maneira positiva ou negativa? (Resposta aberta);3.1 Você acredita que poderá mudar sua forma de estudar após o uso da ferramenta? ;3.2 Você já alterou algo em seus hábitos de estudo após utilizar a ferramenta? ;3.3 A ferramenta contribuiu para uma melhor organização dos seus estudos?;3.4 Comparando sua experiência antes e depois do uso da ferramenta, como você avalia sua organização nos estudos?;3.5 Se melhorou ou piorou, descreva brevemente o motivo.;4.1 Como você avalia, de modo geral, a ferramenta de visualização?;4.2 Você indicaria o uso dessa ferramenta para outros estudantes?;4.3 Sugestões ou comentários sobre a ferramenta: (Resposta aberta)
 1 ;ALU-01I;Curiosidade;Sim;Tecnologia em Sistemas para Internet;Itapetininga;1;2;1;1;Curso autoinstrucional (sem tutor/professor, com apenas vídeos e textos – MOOC);3;2;2;4;2;4;3;Estou com expectativas boas, pois estou com curiosidade sobre, quero conhecer mais.;;4;1;3;4;5;2;2;2;;Positiva;1;3;4;5;Eu não sou muito eficiente em estudar então qualquer modo de facilitar a focar meus estudos me ajuda.;5;1;Achei eficiente, qualquer ferramenta relacionada a estudos é algo positivo, já que o estudo é um dos pilares mais importantes pra nossa sociedade é muito bom ver uma iniciativa com intuito de facilitar esse processo de aprendizagem.
 2 ;ALU-02I;Sem resposta;Sim;Tecnologia em Sistemas para Internet;Angatuba;1;1;2;1;Curso com encontros síncronos ao vivo além do material escrito e gravado;3;3;4;3;1;4;1;;;3;3;4;4;4;3;1;3;;Positiva;1;2;5;4;;4;1;a ferramenta é muito boa e útil para organizar os estudos!
 3 ;ALU-03M;Sem resposta;Sim;Licenciatura em Matemática;Itapetininga ;2;1;3;1;Curso com encontros síncronos ao vivo além do material escrito e gravado;3;2;1;4;2;4;3;;;4;1;4;5;5;3;1;1;Assistir as aulas, o fluxograma ;Positiva ;1;2;2;3;;4;1;A ferramenta é boa, para as pessoas aprenderem.
 4 ;ALU-04M;Personalização da aprendizagem;Sim;Licenciatura em Matemática;Itapetininga;2;2;1;1;Curso autoinstrucional (sem tutor/professor, com apenas vídeos e textos – MOOC), Curso com tutor/professor para tirar dúvidas eventualmente, Curso híbrido (com parte presencial e parte online);4;5;4;1;2;5;3;Espero conteúdos, materiais e dinâmicas personalidas com o meu perfil;;5;1;5;5;5;3;4;4;Gostei bastante da utilização de passo a passo guiado no Google Colab e dos vídeos ;De forma totalmente positiva, pois tornou o aprendizado mais significativo e intuitivo.;1;3;5;4;Eu sou uma pessoa eclética, porém existem momentos ou conteúdos que prefiro distinguir meu hábito de estudos. Porém, ao utilizar a ferramenta multifuncional do AVA eu acabei percebendo que o aprendizado torna-se maior ao misturar estas experiências com novas ferramentas que eu não costuma utilizar constantemente. ;5;1;Com certeza uma inovação no formato de apresentar um curso. Em um ambiente virtual, a ferramenta tornou-se muito produtiva e capaz de me fazer emergir no aprendizado e fomentar a minha curiosidade... 
 5 ;ALU-05I;Sem resposta;Sim;Tecnologia em Sistemas para Internet;Itapetininga ;1;1;1;1;Curso híbrido (com parte presencial e parte online);3;3;3;3;1;3;3;;;3;3;3;4;4;3;3;3;;positiva;1;3;3;3;;4;1;eu gostei 
 6 ;ALU-06M;Curiosidade;Sim;Licenciatura em Matemática;Itapetininga;3;2;3;1;Curso autoinstrucional (sem tutor/professor, com apenas vídeos e textos – MOOC), Curso com tutor/professor para tirar dúvidas eventualmente, Curso com encontros síncronos ao vivo além do material escrito e gravado;3;3;2;2;2;3;1;Curioso;;4;1;4;4;4;3;3;2;;positiva;1;2;4;3;;5;1;Baseada em estudos, a ferramenta é capaz de propor um ensino direcionada as preferencias do estudante.
 7 ;ALU-07I;Sem resposta;Sim;Tecnologia em Sistemas para Internet;Itapetininga;1;2;2;1;Curso autoinstrucional (sem tutor/professor, com apenas vídeos e textos – MOOC);4;2;3;4;2;3;1;;;3;1;3;3;4;3;3;3;;Positiva;1;3;3;4;;4;1;A ferramenta é útil para quem tem dificuldade em aprender, ela ajuda a adaptar algumas coisas para o seu estilo de estudo e de aprendizado
 8 ;ALU-08M;Sem resposta;Sim;Licenciatura em Matemática;Tatuí;2;2;3;1;Curso com encontros síncronos ao vivo além do material escrito e gravado, Curso híbrido (com parte presencial e parte online);4;3;4;5;1;4;1;;;5;1;3;4;4;4;4;3;;achei extremamente simples, bem intuitivo ;1;3;4;4;pelo fato da ferramenta ser simples e visual, me ajuda acompanhar de modo prático de como está o meu desenvolvimento durante o processo de aprendizagem;4;1;acredito  que tendo mais exercicios sobre o  assunto  seria  interessante para fixação do conteúdo
 9 ;ALU-09I;Expectativas positivas gerais;Sim;Tecnologia em Sistemas para Internet;Itapetininga;1;2;1;2;;3;4;2;2;2;4;1;Muito boas.;;3;1;3;4;4;3;2;3;A de Visualização ;Positiva ;1;3;3;4;Melhorou ;4;1;Muito boa 
 10 ;ALU-10M;Sem resposta;Sim;Licenciatura em Matemática;São Miguel Arcanjo;2;2;3;1;Curso autoinstrucional (sem tutor/professor, com apenas vídeos e textos – MOOC);3;3;2;1;2;3;3;;;4;1;4;4;3;3;1;1;;Positiva;1;2;3;3;;4;1;.
